epoch accuracy  loss     val_acc	 val_loss
193   0.8489    0.4364   0.8328      0.4769
194   0.8461    0.4415   0.8328      0.4766
195   0.8481    0.4429   0.8335      0.4766
196   0.8458    0.4426   0.8329      0.4762
197   0.8483    0.4433   0.8334      0.4760
198   0.8475    0.4456   0.8330      0.4759
199   0.8480    0.4424   0.8331      0.4756
200   0.8489    0.4361   0.8338      0.4754
201   0.8457    0.4485   0.8335      0.4752
202   0.8480    0.4436   0.8338      0.4750
203   0.8480    0.4432   0.8342      0.4747
204   0.8492    0.4365   0.8338      0.4746
205   0.8469    0.4457   0.8333      0.4744
206   0.8515    0.4334   0.8335      0.4742
207   0.8473    0.4444   0.8338      0.4739
208   0.8494    0.4370   0.8338      0.4738
209   0.8500    0.4363   0.8342      0.4736
210   0.8469    0.4450   0.8342      0.4734
211   0.8464    0.4440   0.8332      0.4732
212   0.8494    0.4424   0.8342      0.4730
213   0.8501    0.4402   0.8340      0.4728
214   0.8504    0.4369   0.8342      0.4728
215   0.8508    0.4364   0.8343      0.4726
216   0.8514    0.4338   0.8337      0.4723
217   0.8499    0.4381   0.8343      0.4721
218   0.8489    0.4349   0.8346      0.4719
219   0.8526    0.4316   0.8350      0.4718
220   0.8509    0.4339   0.8343      0.4716
221   0.8496    0.4349   0.8342      0.4715
222   0.8494    0.4367   0.8346      0.4712
223   0.8507    0.4323   0.8345      0.4711
224   0.8522    0.4324   0.8345      0.4708
225   0.8491    0.4383   0.8348      0.4707
226   0.8530    0.4288   0.8349      0.4705
227   0.8503    0.4363   0.8349      0.4703
228   0.8516    0.4315   0.8354      0.4702
229   0.8506    0.4375   0.8359      0.4701
230   0.8510    0.4345   0.8358      0.4700
231   0.8512    0.4322   0.8350      0.4697
232   0.8495    0.4382   0.8352      0.4695
233   0.8507    0.4331   0.8358      0.4694
234   0.8521    0.4323   0.8358      0.4693
235   0.8533    0.4303   0.8358      0.4690
236   0.8508    0.4326   0.8353      0.4688
237   0.8512    0.4338   0.8363      0.4687
238   0.8510    0.4354   0.8352      0.4685
239   0.8512    0.4320   0.8360      0.4684
240   0.8504    0.4323   0.8356      0.4683
241   0.8508    0.4329   0.8365      0.4681
242   0.8523    0.4365   0.8360      0.4680
243   0.8502    0.4359   0.8362      0.4678
244   0.8524    0.4298   0.8362      0.4676
245   0.8516    0.4322   0.8360      0.4675
246   0.8503    0.4364   0.8368      0.4673
247   0.8506    0.4353   0.8364      0.4672
248   0.8540    0.4297   0.8362      0.4670
249   0.8499    0.4335   0.8365      0.4669
250   0.8494    0.4398   0.8367      0.4668
251   0.8537    0.4279   0.8367      0.4666
252   0.8499    0.4347   0.8372      0.4665
253   0.8516    0.4259   0.8373      0.4664
254   0.8532    0.4280   0.8363      0.4662
255   0.8530    0.4314   0.8375      0.4660
256   0.8533    0.4303   0.8371      0.4659
257   0.8522    0.4302   0.8368      0.4658
258   0.8495    0.4329   0.8380      0.4657
259   0.8507    0.4318   0.8369      0.4655
260   0.8521    0.4295   0.8368      0.4654
261   0.8523    0.4313   0.8377      0.4653
262   0.8541    0.4226   0.8380      0.4651
263   0.8536    0.4288   0.8376      0.4649
264   0.8528    0.4295   0.8379      0.4649
265   0.8534    0.4274   0.8371      0.4648
266   0.8555    0.4244   0.8374      0.4645
267   0.8544    0.4251   0.8379      0.4644
268   0.8555    0.4243   0.8382      0.4643
269   0.8554    0.4286   0.8374      0.4642
270   0.8530    0.4263   0.8382      0.4641
271   0.8524    0.4336   0.8375      0.4639
272   0.8549    0.4259   0.8376      0.4638
273   0.8528    0.4256   0.8382      0.4637
274   0.8515    0.4335   0.8382      0.4635
275   0.8548    0.4218   0.8376      0.4634
276   0.8535    0.4285   0.8381      0.4633
277   0.8522    0.4304   0.8380      0.4631
278   0.8525    0.4327   0.8383      0.4630
279   0.8527    0.4284   0.8376      0.4629
280   0.8528    0.4267   0.8385      0.4628
281   0.8537    0.4251   0.8380      0.4626
282   0.8550    0.4220   0.8388      0.4625
283   0.8544    0.4253   0.8384      0.4625
284   0.8538    0.4290   0.8388      0.4623
285   0.8555    0.4254   0.8386      0.4622
286   0.8536    0.4270   0.8381      0.4620
287   0.8534    0.4258   0.8380      0.4619
288   0.8551    0.4219   0.8382      0.4618
289   0.8540    0.4265   0.8385      0.4617
290   0.8535    0.4278   0.8388      0.4616
291   0.8543    0.4273   0.8387      0.4616
292   0.8539    0.4246   0.8377      0.4613
293   0.8541    0.4210   0.8387      0.4613
294   0.8554    0.4262   0.8389      0.4612
295   0.8524    0.4310   0.8386      0.4610
296   0.8514    0.4287   0.8383      0.4609
297   0.8545    0.4244   0.8384      0.4609
298   0.8556    0.4224   0.8383      0.4607
299   0.8552    0.4227   0.8387      0.4606
300   0.8546    0.4301   0.8386      0.4605
301   0.8566    0.4198   0.8392      0.4604
302   0.8532    0.4239   0.8383      0.4603
303   0.8556    0.4241   0.8388      0.4603
304   0.8556    0.4198   0.8394      0.4600
305   0.8555    0.4263   0.8383      0.4599
306   0.8546    0.4243   0.8393      0.4598
307   0.8555    0.4232   0.8387      0.4597
308   0.8528    0.4264   0.8393      0.4597
309   0.8553    0.4204   0.8393      0.4595
310   0.8560    0.4225   0.8391      0.4593
311   0.8560    0.4194   0.8393      0.4593
312   0.8560    0.4146   0.8395      0.4592
313   0.8547    0.4236   0.8389      0.4591
314   0.8569    0.4186   0.8395      0.4590
315   0.8544    0.4254   0.8387      0.4588
316   0.8578    0.4173   0.8386      0.4588
317   0.8553    0.4188   0.8392      0.4587
318   0.8555    0.4246   0.8387      0.4586
319   0.8577    0.4207   0.8387      0.4585
320   0.8551    0.4204   0.8389      0.4584
321   0.8586    0.4173   0.8396      0.4583
