epoch	accuracy  loss      val_accuracy  val_loss
234     0.9924    0.0243    0.8892      1.3706
235     0.9931    0.0185    0.8867      1.3828
236     0.9915    0.0242    0.8838      1.3683
237     0.9925    0.0227    0.8846      1.4346
238     0.9927    0.0206    0.8828      1.3554
239     0.9931    0.0202    0.8859      1.3958
240     0.9942    0.0168    0.8872      1.3437
241     0.9915    0.0265    0.8826      1.4358
242     0.9928    0.0209    0.8874      1.3539
243     0.9950    0.0140    0.8847      1.3927
244     0.9931    0.0198    0.8860      1.4481
245     0.9927    0.0221    0.8750      1.4493
246     0.9917    0.0235    0.8858      1.3479
247     0.9917    0.0245    0.8804      1.3950
248     0.9955    0.0140    0.8865      1.3970
249     0.9944    0.0156    0.8893      1.3982
250     0.9935    0.0220    0.8855      1.4602
251     0.9937    0.0178    0.8850      1.4450
252     0.9945    0.0156    0.8866      1.4551
253     0.9931    0.0201    0.8874      1.4303
254     0.9945    0.0157    0.8889      1.4831
255     0.9939    0.0180    0.8853      1.4701
256     0.9942    0.0185    0.8865      1.4813
257     0.9921    0.0258    0.8867      1.4474
258     0.9932    0.0217    0.8819      1.4857
259     0.9945    0.0173    0.8851      1.4229
260     0.9948    0.0179    0.8852      1.5220
261     0.9938    0.0181    0.8875      1.4076
262     0.9954    0.0140    0.8836      1.4575
263     0.9953    0.0149    0.8826      1.4601
264     0.9938    0.0198    0.8870      1.4606
265     0.9934    0.0192    0.8849      1.5172
266     0.9947    0.0172    0.8853      1.5671
267     0.9931    0.0207    0.8828      1.5200
268     0.9937    0.0184    0.8845      1.4793
269     0.9929    0.0221    0.8858      1.5581
270     0.9933    0.0188    0.8845      1.5620
271     0.9922    0.0248    0.8872      1.5079
272     0.9936    0.0188    0.8907      1.5042
273     0.9943    0.0177    0.8858      1.5016
274     0.9958    0.0123    0.8855      1.5026
275     0.9942    0.0169    0.8851      1.4577
276     0.9942    0.0171    0.8863      1.4269
277     0.9950    0.0150    0.8906      1.4629
278     0.9960    0.0125    0.8876      1.4754
279     0.9949    0.0146    0.8833      1.5118
280     0.9935    0.0191    0.8814      1.5506
281     0.9939    0.0196    0.8831      1.5617
282     0.9942    0.0172    0.8817      1.6145
283     0.9932    0.0212    0.8850      1.5631
284     0.9947    0.0158    0.8854      1.5530
285     0.9941    0.0174    0.8862      1.5367
286     0.9951    0.0153    0.8849      1.6074
287     0.9948    0.0157    0.8826      1.5532
288     0.9965    0.0115    0.8860      1.5598
289     0.9931    0.0205    0.8849      1.5974
290     0.9959    0.0141    0.8875      1.5454
291     0.9965    0.0112    0.8870      1.5320
292     0.9932    0.0196    0.8883      1.5505
293     0.9952    0.0154    0.8881      1.6051
294     0.9957    0.0129    0.8865      1.5843
295     0.9951    0.0139    0.8870      1.5653
296     0.9948    0.0152    0.8871      1.5794
297     0.9925    0.0258    0.8881      1.5969
298     0.9953    0.0127    0.8866      1.5945
299     0.9959    0.0123    0.8832      1.7023
300     0.9923    0.0253    0.8857      1.6077
301     0.9956    0.0125    0.8886      1.6055
302     0.9956    0.0144    0.8875      1.5778
303     0.9954    0.0139    0.8829      1.6472
304     0.9940    0.0180    0.8850      1.6091
305     0.9940    0.0161    0.8859      1.6067
306     0.9949    0.0150    0.8831      1.6869
307     0.9955    0.0131    0.8847      1.6379
308     0.9939    0.0192    0.8884      1.6097
309     0.9971    0.0095    0.8892      1.5836
310     0.9949    0.0165    0.8851      1.5987
311     0.9948    0.0149    0.8860      1.6432
312     0.9939    0.0185    0.8861      1.5945
313     0.9944    0.0169    0.8877      1.6356
314     0.9960    0.0116    0.8846      1.6172
315     0.9946    0.0166    0.8854      1.7188
316     0.9956    0.0147    0.8794      1.7547
317     0.9919    0.0262    0.8897      1.6052
318     0.9949    0.0137    0.8882      1.6460
319     0.9939    0.0189    0.8839      1.6266
320     0.9956    0.0144    0.8847      1.6727
321     0.9957    0.0124    0.8853      1.6670
