epoch	accuracy  loss   val_accuracy  val_loss
359  0.9972       0.0089   0.8880       1.7167
360  0.9969       0.0112   0.8881       1.7164
361  0.9951       0.0153   0.8850       1.7141
362  0.9939       0.0167   0.8855       1.7508
363  0.9958       0.0134   0.8835       1.7978
364  0.9966       0.0126   0.8862       1.7557
365  0.9966       0.0115   0.8843       1.6836
366  0.9961       0.0127   0.8888       1.7024
367  0.9958       0.0145   0.8872       1.7336
368  0.9966       0.0111   0.8823       1.7531
369  0.9948       0.0148   0.8867       1.7692
370  0.9951       0.0172   0.8904       1.7292
371  0.9969       0.0093   0.8840       1.7642
372  0.9954       0.0135   0.8843       1.7809
373  0.9921       0.0361   0.8855       1.7539
374  0.9966       0.0106   0.8818       1.8192
375  0.9944       0.0173   0.8816       1.8755
376  0.9940       0.0193   0.8885       1.7384
377  0.9973       0.0096   0.8873       1.7786
378  0.9965       0.0130   0.8841       1.7725
379  0.9958       0.0141   0.8869       1.7677
380  0.9973       0.0083   0.8831       1.8325
381  0.9958       0.0129   0.8887       1.7647
382  0.9957       0.0148   0.8858       1.7394
383  0.9961       0.0118   0.8877       1.7584
384  0.9973       0.0095   0.8835       1.8117
385  0.9976       0.0080   0.8870       1.8013
386  0.9962       0.0127   0.8889       1.7899
387  0.9969       0.0104   0.8860       1.8119
388  0.9960       0.0128   0.8806       1.8715
389  0.9944       0.0163   0.8865       1.8462
390  0.9957       0.0121   0.8830       1.8331
391  0.9965       0.0111   0.8857       1.7801
392  0.9958       0.0143   0.8780       2.0378
393  0.9949       0.0158   0.8811       1.8179
394  0.9958       0.0136   0.8890       1.8040
395  0.9936       0.0241   0.8867       1.9151
396  0.9968       0.0109   0.8845       1.8584
397  0.9943       0.0182   0.8852       1.8655
398  0.9955       0.0146   0.8860       1.7893
399  0.9948       0.0160   0.8899       1.7706
400  0.9953       0.0160   0.8849       1.8760
