epoch	   accuracy  loss       val_accuracy      val_loss
239        0.9975    0.0126     0.8837            0.7036
240        0.9977    0.0117     0.8831            0.7017
241        0.9977    0.0115     0.8840            0.7021
242        0.9984    0.0106     0.8854            0.6855
243        0.9979    0.0113     0.8840            0.6932
244        0.9981    0.0109     0.8844            0.7062
245        0.9974    0.0119     0.8859            0.7002
246        0.9981    0.0104     0.8848            0.7030
247        0.9982    0.0105     0.8860            0.7017
248        0.9977    0.0111     0.8849            0.7025
249        0.9981    0.0102     0.8859            0.7084
250        0.9979    0.0104     0.8834            0.7237
251        0.9978    0.0109     0.8846            0.7123
252        0.9978    0.0104     0.8875            0.7066
253        0.9978    0.0109     0.8845            0.7200
254        0.9984    0.0092     0.8833            0.7175
255        0.9984    0.0094     0.8870            0.7116
256        0.9981    0.0098     0.8847            0.7189
257        0.9984    0.0095     0.8876            0.7191
258        0.9985    0.0087     0.8844            0.7346
259        0.9988    0.0086     0.8871            0.7182
260        0.9988    0.0081     0.8829            0.7486
261        0.9983    0.0093     0.8836            0.7430
262        0.9984    0.0087     0.8838            0.7310
263        0.9986    0.0081     0.8835            0.7463
264        0.9983    0.0090     0.8841            0.7469
265        0.9985    0.0086     0.8857            0.7350
266        0.9987    0.0079     0.8864            0.7315
267        0.9988    0.0076     0.8878            0.7466
268        0.9986    0.0078     0.8858            0.7489
269        0.9986    0.0085     0.8862            0.7396
270        0.9988    0.0078     0.8839            0.7437
271        0.9986    0.0075     0.8852            0.7513
272        0.9984    0.0088     0.8858            0.7431
273        0.9991    0.0071     0.8862            0.7472
274        0.9984    0.0075     0.8857            0.7575
275        0.9985    0.0086     0.8852            0.7549
276        0.9991    0.0063     0.8856            0.7623
277        0.9990    0.0067     0.8841            0.7774
278        0.9986    0.0078     0.8854            0.7681
279        0.9982    0.0084     0.8847            0.7698
280        0.9991    0.0066     0.8836            0.7700
281        0.9988    0.0068     0.8835            0.7744
282        0.9991    0.0065     0.8857            0.7698
283        0.9993    0.0062     0.8855            0.7726
284        0.9993    0.0063     0.8850            0.7710
285        0.9986    0.0068     0.8851            0.7747
286        0.9990    0.0063     0.8856            0.7804
287        0.9994    0.0055     0.8843            0.7971
288        0.9991    0.0064     0.8869            0.7742
289        0.9995    0.0054     0.8803            0.7971
290        0.9988    0.0069     0.8855            0.7903
291        0.9992    0.0058     0.8839            0.7863
292        0.9992    0.0058     0.8843            0.7917
293        0.9993    0.0056     0.8836            0.8107
294        0.9986    0.0070     0.8861            0.7880
295        0.9992    0.0057     0.8843            0.7952
296        0.9993    0.0055     0.8851            0.8006
297        0.9993    0.0051     0.8838            0.8129
298        0.9993    0.0052     0.8848            0.7915
299        0.9996    0.0044     0.8860            0.7925
300        0.9989    0.0055     0.8853            0.8009
301        0.9993    0.0055     0.8807            0.8266
302        0.9990    0.0057     0.8850            0.8160
303        0.9993    0.0051     0.8828            0.8215
304        0.9994    0.0055     0.8843            0.8220
305        0.9989    0.0058     0.8833            0.8246
306        0.9996    0.0042     0.8847            0.8410
307        0.9993    0.0050     0.8859            0.8138
308        0.9991    0.0049     0.8826            0.8163
309        0.9996    0.0040     0.8867            0.8189
310        0.9993    0.0045     0.8849            0.8126
311        0.9995    0.0045     0.8813            0.8427
312        0.9992    0.0053     0.8845            0.8280
313        0.9996    0.0042     0.8845            0.8322
314        0.9994    0.0046     0.8846            0.8309
315        0.9994    0.0047     0.8850            0.8414
316        0.9993    0.0042     0.8845            0.8311
317        0.9995    0.0039     0.8849            0.8311
318        0.9995    0.0042     0.8848            0.8371
319        0.9994    0.0040     0.8858            0.8406
320        0.9997    0.0034     0.8829            0.8442
321        0.9996    0.0035     0.8845            0.8487
322        0.9996    0.0040     0.8838            0.8430
323        0.9997    0.0035     0.8859            0.8483
324        0.9997    0.0036     0.8831            0.8584
325        0.9995    0.0041     0.8869            0.8505
326        0.9998    0.0034     0.8831            0.8596
327        0.9997    0.0036     0.8854            0.8518
328        0.9998    0.0030     0.8859            0.8630
329        0.9995    0.0039     0.8859            0.8542
330        0.9999    0.0028     0.8848            0.8577
331        0.9998    0.0030     0.8831            0.8596
332        0.9998    0.0029     0.8853            0.8584
333        0.9998    0.0028     0.8852            0.8659
334        0.9999    0.0025     0.8838            0.8643
335        0.9998    0.0028     0.8847            0.8635
336        0.9995    0.0038     0.8834            0.8677
337        0.9998    0.0026     0.8865            0.8730
338        0.9997    0.0027     0.8806            0.8841
339        0.9997    0.0030     0.8830            0.8863
340        0.9997    0.0029     0.8860            0.8757
341        0.9998    0.0027     0.8819            0.9086
342        0.9997    0.0034     0.8850            0.8847
343        0.9996    0.0030     0.8830            0.8957
344        1.0000    0.0022     0.8832            0.8882
345        0.9997    0.0027     0.8843            0.8863
346        0.9999    0.0027     0.8843            0.8903
347        0.9998    0.0021     0.8869            0.8878
348        0.9999    0.0021     0.8847            0.8906
349        0.9999    0.0020     0.8843            0.8925
350        0.9998    0.0025     0.8851            0.9180
351        0.9999    0.0023     0.8845            0.8932
352        0.9997    0.0025     0.8845            0.8981
353        0.9997    0.0027     0.8837            0.9096
354        0.9999    0.0021     0.8852            0.9037
355        0.9998    0.0022     0.8854            0.9147
356        0.9998    0.0022     0.8851            0.9134
357        0.9998    0.0024     0.8828            0.9147
358        0.9997    0.0029     0.8813            0.9327
359        0.9996    0.0026     0.8837            0.9135
360        0.9998    0.0023     0.8856            0.9138
361        0.9997    0.0025     0.8830            0.9125
362        1.0000    0.0018     0.8854            0.9128
363        0.9999    0.0023     0.8838            0.9153
364        0.9999    0.0018     0.8845            0.9211
365        0.9997    0.0023     0.8841            0.9263
366        0.9999    0.0021     0.8859            0.9277
367        0.9998    0.0021     0.8839            0.9282
368        0.9999    0.0018     0.8837            0.9291
369        0.9998    0.0021     0.8835            0.9354
370        0.9998    0.0020     0.8821            0.9465
371        0.9996    0.0028     0.8843            0.9298
372        0.9999    0.0017     0.8834            0.9487
373        0.9996    0.0023     0.8837            0.9350
374        0.9998    0.0018     0.8817            0.9641
375        0.9999    0.0017     0.8839            0.9381
376        0.9998    0.0018     0.8849            0.9357
377        0.9999    0.0015     0.8812            0.9591
378        0.9998    0.0019     0.8848            0.9534
379        0.9996    0.0025     0.8860            0.9415
380        0.9999    0.0014     0.8843            0.9500
381        0.9999    0.0017     0.8843            0.9459
382        0.9999    0.0015     0.8837            0.9434
383        0.9999    0.0016     0.8824            0.9598
384        0.9997    0.0021     0.8833            0.9590
385        1.0000    0.0012     0.8847            0.9603
386        0.9999    0.0014     0.8842            0.9622
387        0.9996    0.0025     0.8850            0.9566
388        0.9997    0.0020     0.8847            0.9672
389        1.0000    0.0012     0.8819            0.9682
390        0.9997    0.0020     0.8832            0.9726
391        0.9999    0.0011     0.8834            0.9737
392        0.9999    0.0012     0.8841            0.9723
393        0.9998    0.0017     0.8847            0.9736
394        1.0000    9.6522e-04     0.8820            0.9745
395        0.9998    0.0022     0.8827            0.9792
396        0.9999    0.0014     0.8847            0.9791
397        0.9997    0.0016     0.8843            0.9765
398        0.9999    0.0011     0.8829            0.9822
399        0.9999    0.0015     0.8860            0.9801
400        0.9999    0.0015     0.8826            0.9894
